A,B,C,D
1.0,24.0,32.32999999403954,182.98999999977647
2.0,11.0,34.13999999642372,105.32000000357628
3.0,31.0,36.150000001788136,225.01999999910592
4.0,24.0,38.26000000119209,183.35999999523162
5.0,3.0,40.29000000238418,57.08000000149011
6.0,24.0,42.26000000119209,183.050000000298
7.0,13.0,44.12000000059604,117.03000000074506
8.0,28.0,46.36999998569488,207.21000000417231
9.0,17.0,48.25000001072883,141.29999999284743
10.0,36.0,50.25000001072883,255.16000000715255
11.0,18.0,52.21000000417232,147.13000000596045
12.0,9.0,54.239999990463254,93.13000000596047
13.0,0.0,56.150000001788136,39.08000000149011
14.0,33.0,58.09999999731779,237.13000000596045
15.0,28.0,60.030000000745055,207.00999999932944
16.0,28.0,61.98999999977648,207.32000000357627
17.0,38.0,64.18000000298022,267.2199999946356
18.0,38.0,66.1899999934435,267.31000001311304
19.0,10.0,68.1899999934435,98.98999999977649
20.0,12.0,70.07000000357628,111.03000000074506
21.0,16.0,72.05999999821186,135.15000000178813
22.0,37.0,74.0399999986589,261.32999999403955
23.0,7.0,76.21999999463559,81.05999999821186
24.0,9.0,78.0399999986589,93.23999999046326
25.0,13.0,80.12000000059605,117.05999999821186
26.0,5.0,82.03000000074506,69.29999999284745
27.0,1.0,84.29999999284745,45.32999999403953
28.0,39.0,86.13999999642373,273.3500000047684
29.0,15.0,87.99999999955297,129.21000000417231
30.0,30.0,90.0999999973178,218.98
31.0,9.0,92.32999999403954,92.98
32.0,7.0,94.32999999403954,81.32000000357628
33.0,34.0,96.18000000298024,243.00999999932944
34.0,3.0,98.1899999934435,56.98
35.0,5.0,100.13000000596047,69.08999999940396
36.0,27.0,102.26999999165535,201.26999999165534
37.0,37.0,104.36999998569489,261.1999999988079
38.0,16.0,106.35999999523163,135.26000000119208
39.0,33.0,108.15000000178814,237.1399999964237
40.0,35.0,110.23,249.09999999731778
41.0,22.0,112.23,171.08999999940394
42.0,17.0,114.13999999642373,141.08999999940394
43.0,4.0,116.08000000149012,63.35000000476837
44.0,33.0,118.16000000715256,237.18000000298022
45.0,27.0,120.05999999821186,201.01999999910592
46.0,4.0,123.0,63.070000003576276
47.0,15.0,124.12000000059605,129.21000000417231
48.0,38.0,126.03000000074506,267.18000000298025
49.0,5.0,128.16999999761583,69.26999999165535
50.0,39.0,130.08999999940394,273.00999999932947
51.0,32.0,132.35999999523162,231.18999999344348
52.0,35.0,134.35999999523162,249.09999999731778
53.0,20.0,136.25000001072883,158.98
54.0,39.0,138.23,273.2600000011921
55.0,12.0,139.98999999977647,111.28000001192093
56.0,37.0,142.12000000059604,261.3699999856949
57.0,13.0,144.35999999523162,117.21999999463559
58.0,23.0,146.29999999284743,177.03000000074505
59.0,22.0,148.12000000059604,171.26000000119208
60.0,14.0,150.05999999821185,123.21000000417233
61.0,26.0,152.26000000119208,195.03000000074505
62.0,24.0,154.32999999403953,183.13000000596045
63.0,0.0,156.21000000417231,39.13999999642372
64.0,6.0,158.0800000014901,74.99999999955297
65.0,35.0,160.09999999731778,249.26000000119208
66.0,35.0,162.28000001192092,249.21000000417231
67.0,38.0,164.32000000357627,267.1999999988079
68.0,19.0,166.23,153.18000000298022
69.0,35.0,168.10999999523162,249.03999999865889
70.0,2.0,170.36999998569488,51.25000001072883
71.0,9.0,172.26000000119208,93.29999999284745
72.0,17.0,174.26999999165534,141.3400000143051
73.0,12.0,176.35999999523162,111.10999999523163
74.0,24.0,178.05999999821185,183.18999999344348
75.0,20.0,180.13000000596045,159.26999999165534
76.0,23.0,182.16000000715255,177.3400000143051
77.0,7.0,184.03999999865889,81.0999999973178
78.0,24.0,186.08999999940394,183.26999999165534
79.0,31.0,187.99999999955295,225.03000000074505
80.0,27.0,189.98,201.15000000178813
81.0,28.0,192.35999999523162,207.00999999932944
82.0,11.0,194.16000000715255,105.25000001072884
83.0,22.0,196.28000001192092,171.32999999403953
84.0,36.0,198.07000000357627,255.32999999403953
85.0,25.0,200.08999999940394,189.18000000298022
86.0,10.0,202.16000000715255,99.32999999403954
87.0,29.0,204.310000013113,213.050000000298
88.0,5.0,206.18000000298022,69.35999999523163
89.0,9.0,208.05999999821185,93.03000000074506
90.0,20.0,210.23999999046325,159.32000000357627
91.0,26.0,211.99999999955295,195.26999999165534
92.0,3.0,213.99999999955295,57.280000011920926
93.0,12.0,216.07000000357627,111.23999999046326
94.0,17.0,218.3400000143051,141.03000000074505
95.0,30.0,220.18000000298022,219.050000000298
96.0,28.0,222.26999999165534,207.310000013113
97.0,5.0,224.32000000357627,69.0399999986589
98.0,20.0,226.29999999284743,158.99999999955295
99.0,18.0,227.98,147.08999999940394
100.0,32.0,230.21999999463557,231.35999999523162
