A,B,C,D
1.0,36.0,32.269999991655354,255.1399999964237
2.0,18.0,34.239999990463254,147.1399999964237
3.0,22.0,36.070000003576276,171.00999999932944
4.0,37.0,38.03999999865889,261.32999999403955
5.0,24.0,40.34000001430511,183.05999999821185
6.0,27.0,42.12000000059604,201.12000000059604
7.0,32.0,44.21000000417232,231.21999999463557
8.0,39.0,46.01999999910593,273.31000001311304
9.0,3.0,48.29000000238418,57.25000001072883
10.0,8.0,50.109999995231625,87.23999999046326
11.0,29.0,52.05000000029802,213.25000001072883
12.0,7.0,54.239999990463254,81.29000000238419
13.0,30.0,56.359999995231625,219.00999999932944
14.0,8.0,58.31000001311302,87.32999999403954
15.0,15.0,60.16999999761581,129.32000000357627
16.0,23.0,62.16999999761581,177.25000001072883
17.0,2.0,64.10999999523162,51.160000007152554
18.0,33.0,66.32999999403954,236.99999999955295
19.0,4.0,68.21000000417233,63.26999999165535
20.0,29.0,70.35999999523163,213.01999999910592
21.0,12.0,72.29000000238419,111.35999999523163
22.0,6.0,74.16000000715256,75.2600000011921
23.0,16.0,76.35999999523163,135.35000000476836
24.0,39.0,78.32000000357628,273.1899999934435
25.0,28.0,80.01999999910593,207.15000000178813
26.0,21.0,82.00999999932945,165.12000000059604
27.0,6.0,84.32000000357628,75.15000000178814
28.0,33.0,86.31000001311303,237.050000000298
29.0,10.0,88.23,99.21999999463559
30.0,20.0,90.0399999986589,158.99999999955295
31.0,12.0,92.10999999523163,111.1899999934435
32.0,17.0,94.05999999821186,141.1999999988079
33.0,13.0,96.36999998569489,117.19999999880791
34.0,35.0,98.07000000357628,249.03999999865889
35.0,16.0,100.34000001430512,135.05999999821185
36.0,36.0,102.29999999284745,255.03999999865889
37.0,24.0,104.10999999523163,183.18999999344348
38.0,36.0,106.03000000074506,255.35000000476836
39.0,18.0,108.18000000298024,147.310000013113
40.0,34.0,110.18000000298024,243.12000000059604
41.0,17.0,112.21999999463559,141.15000000178813
42.0,7.0,114.32000000357628,81.12000000059605
43.0,7.0,116.01999999910593,81.21000000417233
44.0,5.0,117.98,69.32000000357628
45.0,16.0,120.07000000357628,134.98
46.0,34.0,122.21999999463559,243.1399999964237
47.0,0.0,124.07000000357628,39.08999999940395
48.0,16.0,126.00999999932945,135.28000001192092
49.0,18.0,128.26999999165537,146.98999999977647
50.0,21.0,130.26999999165534,165.29999999284743
51.0,37.0,131.98999999977647,261.2600000011921
52.0,19.0,133.98,153.26999999165534
53.0,25.0,136.1399999964237,189.15000000178813
54.0,19.0,138.26999999165534,153.32000000357627
55.0,18.0,140.12000000059604,147.1999999988079
56.0,19.0,142.13000000596045,153.23999999046325
57.0,33.0,144.3400000143051,237.26999999165534
58.0,36.0,146.23999999046325,255.25000001072883
59.0,28.0,148.1699999976158,207.03999999865889
60.0,14.0,150.1699999976158,123.19999999880791
61.0,33.0,152.29000000238418,237.13000000596045
62.0,23.0,154.1399999964237,176.98
63.0,15.0,156.18999999344348,129.26999999165534
64.0,21.0,158.36999998569488,165.21000000417231
65.0,3.0,160.1399999964237,57.13000000596046
66.0,36.0,162.10999999523162,255.1399999964237
67.0,16.0,164.1399999964237,135.21000000417231
68.0,3.0,165.99999999955295,57.150000001788136
69.0,8.0,168.16000000715255,87.2600000011921
70.0,32.0,170.08999999940394,231.26000000119208
71.0,2.0,172.23999999046325,50.98
72.0,10.0,174.18000000298022,99.12000000059605
73.0,36.0,176.23999999046325,255.07000000357627
74.0,25.0,178.0800000014901,189.36999998569488
75.0,15.0,180.35000000476836,129.3400000143051
76.0,38.0,182.26999999165534,267.29999999284746
77.0,18.0,184.00999999932944,147.21000000417231
78.0,25.0,186.26999999165534,189.32000000357627
79.0,21.0,188.03000000074505,165.23
80.0,1.0,190.310000013113,45.29000000238418
81.0,21.0,191.99999999955295,164.99999999955295
82.0,39.0,194.29999999284743,273.3699999856949
83.0,10.0,196.07000000357627,99.32000000357628
84.0,22.0,197.98999999977647,171.03999999865889
85.0,20.0,200.26000000119208,159.3400000143051
86.0,8.0,202.10999999523162,87.19999999880791
87.0,22.0,204.03999999865889,171.16000000715255
88.0,10.0,206.310000013113,99.29000000238419
89.0,0.0,208.18000000298022,38.98
90.0,4.0,210.07000000357627,63.18000000298023
91.0,28.0,212.12000000059604,206.99999999955295
92.0,29.0,214.15000000178813,213.13000000596045
93.0,21.0,215.98999999977647,165.26999999165534
94.0,4.0,218.36999998569488,63.29999999284744
95.0,20.0,220.1399999964237,159.13000000596045
96.0,39.0,222.1699999976158,273.18000000298025
97.0,34.0,224.3400000143051,243.13000000596045
98.0,26.0,226.13000000596045,195.1399999964237
99.0,1.0,228.05999999821185,45.01999999910593
100.0,14.0,230.23,123.08000000149012
